player_key,player_id,player_name,team,nfl_player_key,position,bye_week,points,league_key
423.p.33545,33545,Ihmir Smith-Marsette,Carolina Panthers,nfl.p.33545,WR,7,32.50,423.l.129200
423.p.32018,32018,Ty Johnson,Buffalo Bills,nfl.p.32018,RB,13,32.40,423.l.129200
423.p.33999,33999,John Metchie III,Houston Texans,nfl.p.33999,WR,7,32.20,423.l.129200
423.p.33114,33114,Tony Jones,Arizona Cardinals,nfl.p.33114,RB,14,32.20,423.l.129200
423.p.34119,34119,Kyle Philips,Tennessee Titans,nfl.p.34119,WR,7,31.10,423.l.129200
423.p.34057,34057,Jeremy Ruckert,New York Jets,nfl.p.34057,TE,7,31.10,423.l.129200
423.p.40279,40279,Ronnie Bell,San Francisco 49ers,nfl.p.40279,WR,9,30.80,423.l.129200
423.p.31891,31891,Parris Campbell,Philadelphia Eagles,nfl.p.31891,WR,10,30.40,423.l.129200
423.p.33235,33235,Patrick Taylor Jr.,San Francisco 49ers,nfl.p.33235,RB,9,30.00,423.l.129200
423.p.32763,32763,Darrynton Evans,Buffalo Bills,nfl.p.32763,RB,13,30.00,423.l.129200
423.p.32596,32596,Craig Reynolds,Detroit Lions,nfl.p.32596,RB,9,29.60,423.l.129200
423.p.31874,31874,Drew Lock,New York Giants,nfl.p.31874,QB,13,29.12,423.l.129200
423.p.25871,25871,Randy Bullock,New York Giants,nfl.p.25871,K,13,29.00,423.l.129200
423.p.32691,32691,Jalen Reagor,New England Patriots,nfl.p.32691,WR,11,28.50,423.l.129200
423.p.33533,33533,Luke Farrell,Jacksonville Jaguars,nfl.p.33533,TE,9,28.50,423.l.129200
423.p.31157,31157,Ray-Ray McCloud,Atlanta Falcons,nfl.p.31157,WR,11,28.50,423.l.129200
423.p.32857,32857,Donovan Peoples-Jones,Detroit Lions,nfl.p.32857,WR,9,28.50,423.l.129200
423.p.31068,31068,Jordan Akins,Cleveland Browns,nfl.p.31068,TE,5,28.20,423.l.129200
423.p.33774,33774,Brock Wright,Detroit Lions,nfl.p.33774,TE,9,28.10,423.l.129200
423.p.31496,31496,Byron Pringle,Washington Commanders,nfl.p.31496,WR,14,28.10,423.l.129200
423.p.33381,33381,Matt Ammendola,Houston Texans,nfl.p.33381,K,7,28.00,423.l.129200
423.p.34005,34005,Tyquan Thornton,New England Patriots,nfl.p.34005,WR,11,27.20,423.l.129200
423.p.30955,30955,River Cracraft,Miami Dolphins,nfl.p.30955,WR,10,27.10,423.l.129200
423.p.28638,28638,Trevor Siemian,New York Jets,nfl.p.28638,QB,7,26.96,423.l.129200
423.p.31965,31965,Jarrett Stidham,Denver Broncos,nfl.p.31965,QB,9,26.64,423.l.129200
423.p.40061,40061,Luke Schoonmaker,Dallas Cowboys,nfl.p.40061,TE,7,26.50,423.l.129200
423.p.29236,29236,Carson Wentz,Kansas City Chiefs,nfl.p.29236,QB,10,26.12,423.l.129200
423.p.28531,28531,MyCole Pruitt,Pittsburgh Steelers,nfl.p.28531,TE,6,26.00,423.l.129200
423.p.31888,31888,Mecole Hardman,Kansas City Chiefs,nfl.p.31888,WR,10,25.70,423.l.129200
423.p.32993,32993,Tyler Huntley,Cleveland Browns,nfl.p.32993,QB,5,25.62,423.l.129200
423.p.31320,31320,Trent Sherfield Sr.,Minnesota Vikings,nfl.p.31320,WR,13,25.60,423.l.129200
423.p.40164,40164,Davis Allen,Los Angeles Rams,nfl.p.40164,TE,10,25.50,423.l.129200
423.p.32201,32201,Jalen Guyton,Las Vegas Raiders,nfl.p.32201,WR,13,24.90,423.l.129200
423.p.32344,32344,Alec Ingold,Miami Dolphins,nfl.p.32344,RB,10,24.90,423.l.129200
423.p.32921,32921,Stephen Sullivan,Carolina Panthers,nfl.p.32921,TE,7,24.50,423.l.129200
423.p.40182,40182,Josh Whyle,Tennessee Titans,nfl.p.40182,TE,7,24.40,423.l.129200
423.p.31366,31366,Michael Badgley,Detroit Lions,nfl.p.31366,K,9,24.00,423.l.129200
423.p.24822,24822,Andy Dalton,Carolina Panthers,nfl.p.24822,QB,7,23.64,423.l.129200
423.p.34654,34654,Lucas Krull,Denver Broncos,nfl.p.34654,TE,9,23.50,423.l.129200
423.p.30973,30973,Sam Darnold,Minnesota Vikings,nfl.p.30973,QB,13,23.38,423.l.129200
423.p.31005,31005,Nick Chubb,Cleveland Browns,nfl.p.31005,RB,5,23.10,423.l.129200
423.p.34105,34105,Cole Turner,Washington Commanders,nfl.p.34105,TE,14,23.00,423.l.129200
423.p.29325,29325,Jacoby Brissett,New England Patriots,nfl.p.29325,QB,11,22.86,423.l.129200
423.p.40095,40095,Tank Bigsby,Jacksonville Jaguars,nfl.p.40095,RB,9,22.80,423.l.129200
423.p.29785,29785,Robbie Chosen,Miami Dolphins,nfl.p.29785,WR,10,22.60,423.l.129200
423.p.32750,32750,Lynn Bowden Jr.,New Orleans Saints,nfl.p.32750,WR,11,22.50,423.l.129200
423.p.30777,30777,Robert Tonyan,Minnesota Vikings,nfl.p.30777,TE,13,22.20,423.l.129200
423.p.40195,40195,Dorian Thompson-Robinson,Cleveland Browns,nfl.p.40195,QB,5,22.10,423.l.129200
423.p.8447,8447,Mason Crosby,New York Giants,nfl.p.8447,K,13,22.00,423.l.129200
423.p.40232,40232,Xavier Hutchinson,Houston Texans,nfl.p.40232,WR,7,21.90,423.l.129200
423.p.34084,34084,Charlie Kolar,Baltimore Ravens,nfl.p.34084,TE,13,21.70,423.l.129200
423.p.32719,32719,Chase Claypool,Buffalo Bills,nfl.p.32719,WR,13,21.70,423.l.129200
423.p.33637,33637,Ben Skowronek,Houston Texans,nfl.p.33637,WR,7,21.50,423.l.129200
423.p.32712,32712,Laviska Shenault Jr.,Seattle Seahawks,nfl.p.32712,WR,5,21.50,423.l.129200
423.p.30217,30217,C.J. Beathard,Jacksonville Jaguars,nfl.p.30217,QB,9,21.46,423.l.129200
423.p.34139,34139,Kevin Harris,New England Patriots,nfl.p.34139,RB,11,21.30,423.l.129200
423.p.40158,40158,Charlie Jones,Cincinnati Bengals,nfl.p.40158,WR,7,20.70,423.l.129200
423.p.30339,30339,David Moore,Carolina Panthers,nfl.p.30339,WR,7,20.40,423.l.129200
423.p.33476,33476,Trey Sermon,Indianapolis Colts,nfl.p.33476,RB,11,20.30,423.l.129200
423.p.29274,29274,Sterling Shepard,Tampa Bay Buccaneers,nfl.p.29274,WR,5,20.30,423.l.129200
423.p.34310,34310,Ronnie Rivers,Los Angeles Rams,nfl.p.34310,RB,10,20.10,423.l.129200
423.p.30538,30538,P.J. Walker,Seattle Seahawks,nfl.p.30538,QB,5,19.96,423.l.129200
423.p.28545,28545,C.J. Uzomah,Philadelphia Eagles,nfl.p.28545,TE,10,19.80,423.l.129200
423.p.28403,28403,Melvin Gordon III,Baltimore Ravens,nfl.p.28403,RB,13,19.70,423.l.129200
423.p.28634,28634,Geoff Swaim,Arizona Cardinals,nfl.p.28634,TE,14,19.40,423.l.129200
423.p.31210,31210,Richie James,Kansas City Chiefs,nfl.p.31210,WR,10,19.40,423.l.129200
